取水户名称	时间	日取水量	小时取水量
示例取水户001	2025/05/14	0	0
示例取水户001	2025/05/15	0	0
示例取水户001	2025/05/16	0	0
示例取水户001	2025/05/17	0	0
示例取水户001	2025/05/18	0	0
示例取水户001	2025/05/19	0	0
示例取水户001	2025/05/20	0	0
示例取水户001	2025/05/21	0	0
示例取水户001	2025/05/22	0	0
示例取水户001	2025/05/23	0	0
示例取水户001	2025/05/24	0	0
示例取水户001	2025/05/25	0	0
示例取水户001	2025/05/26	0	0
示例取水户002	2025/05/14	0	0
示例取水户002	2025/05/15	0	0
示例取水户002	2025/05/16	0	0
示例取水户002	2025/05/17	0	0
示例取水户002	2025/05/18	0	0
示例取水户002	2025/05/19	0	0
示例取水户002	2025/05/20	0	0
示例取水户002	2025/05/21	0	0
示例取水户002	2025/05/22	0	0
示例取水户002	2025/05/23	0	0
示例取水户002	2025/05/24	0	0
示例取水户002	2025/05/25	0	0
示例取水户002	2025/05/26	0	0
示例取水户003	2025/05/14	0	0
示例取水户003	2025/05/15	0	0
示例取水户003	2025/05/16	0	0
示例取水户003	2025/05/17	0	0
示例取水户003	2025/05/18	0	0
示例取水户003	2025/05/19	0	0
示例取水户003	2025/05/20	0	0
示例取水户003	2025/05/21	0	0
示例取水户003	2025/05/22	0	0
示例取水户003	2025/05/23	0	0
示例取水户003	2025/05/24	0	0
示例取水户003	2025/05/25	0	0
示例取水户003	2025/05/26	0	0
示例取水户004	2025/05/14	0	0
示例取水户004	2025/05/15	0	0
示例取水户004	2025/05/16	0	0
示例取水户004	2025/05/17	0	0
示例取水户004	2025/05/18	0	0
示例取水户004	2025/05/19	0	0
示例取水户004	2025/05/20	0	0
示例取水户004	2025/05/21	0	0
示例取水户004	2025/05/22	0	0
示例取水户004	2025/05/23	0	0
示例取水户004	2025/05/24	0	0
示例取水户004	2025/05/25	0	0
示例取水户004	2025/05/26	0	0
示例取水户005	2025/05/14	0	0
示例取水户005	2025/05/15	0	0
示例取水户005	2025/05/16	0	0
示例取水户005	2025/05/17	0	0
示例取水户005	2025/05/18	0	0
示例取水户005	2025/05/19	0	0
示例取水户005	2025/05/20	0	0
示例取水户005	2025/05/21	0	0
示例取水户005	2025/05/22	0	0
示例取水户005	2025/05/23	0	0
示例取水户005	2025/05/24	0	0
示例取水户005	2025/05/25	0	0
示例取水户005	2025/05/26	0	0
示例取水户006	2025/05/14	0	0
示例取水户006	2025/05/15	0	0
示例取水户006	2025/05/16	0	0
示例取水户006	2025/05/17	0	0
示例取水户006	2025/05/18	0	0
示例取水户006	2025/05/19	0	0
示例取水户006	2025/05/20	0	0
示例取水户006	2025/05/21	0	0
示例取水户006	2025/05/22	0	0
示例取水户006	2025/05/23	0	0
示例取水户006	2025/05/24	0	0
示例取水户006	2025/05/25	0	0
示例取水户006	2025/05/26	0	0
示例取水户007	2025/05/14	0	0
示例取水户007	2025/05/15	0	0
示例取水户007	2025/05/16	0	0
示例取水户007	2025/05/17	0	0
示例取水户007	2025/05/18	0	0
示例取水户007	2025/05/19	0	0
示例取水户007	2025/05/20	0	0
示例取水户007	2025/05/21	0	0
示例取水户007	2025/05/22	0	0
示例取水户007	2025/05/23	0	0
示例取水户007	2025/05/24	0	0
示例取水户007	2025/05/25	0	0
示例取水户007	2025/05/26	0	0
示例取水户008	2025/05/14	0	0
示例取水户008	2025/05/15	0	0
示例取水户008	2025/05/16	0	0
示例取水户008	2025/05/17	0	0
示例取水户008	2025/05/18	0	0
示例取水户008	2025/05/19	0	0
示例取水户008	2025/05/20	0	0
示例取水户008	2025/05/21	0	0
示例取水户008	2025/05/22	0	0
示例取水户008	2025/05/23	0	0
示例取水户008	2025/05/24	0	0
示例取水户008	2025/05/25	0	0
示例取水户008	2025/05/26	0	0
示例取水户009	2025/05/14	0	0
示例取水户009	2025/05/15	0	0
示例取水户009	2025/05/16	0	0
示例取水户009	2025/05/17	0	0
示例取水户009	2025/05/18	0	0
示例取水户009	2025/05/19	0	0
示例取水户009	2025/05/20	0	0
示例取水户009	2025/05/21	0	0
示例取水户009	2025/05/22	0	0
示例取水户009	2025/05/23	0	0
示例取水户009	2025/05/24	0	0
示例取水户009	2025/05/25	0	0
示例取水户009	2025/05/26	0	0
示例取水户010	2025/05/14	0	0
示例取水户010	2025/05/15	0	0
示例取水户010	2025/05/16	0	0
示例取水户010	2025/05/17	0	0
示例取水户010	2025/05/18	0	0
示例取水户010	2025/05/19	0	0
示例取水户010	2025/05/20	0	0
示例取水户010	2025/05/21	0	0
示例取水户010	2025/05/22	0	0
示例取水户010	2025/05/23	0	0
示例取水户010	2025/05/24	0	0
示例取水户010	2025/05/25	0	0
示例取水户010	2025/05/26	0	0
